Date,TMUBMUSD03M
02/01/19,2.396
01/31/19,2.397
01/30/19,2.4219999999999997
01/29/19,2.418
01/28/19,2.408
01/25/19,2.386
01/24/19,2.369
01/23/19,2.407
01/22/19,2.41
01/20/19,2.407
01/18/19,2.404
01/17/19,2.407
01/16/19,2.415
01/15/19,2.443
01/14/19,2.4330000000000003
01/11/19,2.4219999999999997
01/10/19,2.4330000000000003
01/09/19,2.4459999999999997
01/08/19,2.456
01/07/19,2.43
01/04/19,2.412
01/03/19,2.407
01/02/19,2.425
12/31/18,2.454
12/28/18,2.386
12/27/18,2.412
12/26/18,2.425
12/24/18,2.391
12/21/18,2.396
12/20/18,2.3890000000000002
12/19/18,2.4019999999999997
12/18/18,2.3890000000000002
12/17/18,2.4
12/14/18,2.4219999999999997
12/13/18,2.417
12/12/18,2.43
12/11/18,2.412
12/10/18,2.3890000000000002
12/07/18,2.394
12/06/18,2.4090000000000003
12/05/18,2.412
12/04/18,2.423
12/03/18,2.3890000000000002
11/30/18,2.355
11/29/18,2.3609999999999998
11/28/18,2.392
11/27/18,2.4019999999999997
11/26/18,2.397
11/23/18,2.406
11/21/18,2.404
11/20/18,2.3890000000000002
11/19/18,2.379
11/16/18,2.3480000000000003
11/15/18,2.366
11/14/18,2.379
11/13/18,2.345
11/09/18,2.355
11/08/18,2.356
11/07/18,2.358
11/06/18,2.356
11/05/18,2.343
11/02/18,2.325
11/01/18,2.325
10/31/18,2.3480000000000003
10/30/18,2.333
10/29/18,2.33
10/26/18,2.33
10/25/18,2.335
10/24/18,2.333
10/23/18,2.338
10/22/18,2.309
10/19/18,2.3040000000000003
10/18/18,2.312
10/17/18,2.31
10/16/18,2.31
10/15/18,2.3
10/12/18,2.273
10/11/18,2.266
10/10/18,2.274
10/09/18,2.261
10/08/18,2.219
10/05/18,2.224
10/04/18,2.22
10/03/18,2.228
10/02/18,2.22
10/01/18,2.199
09/28/18,2.1959999999999997
09/27/18,2.187
09/26/18,2.21
09/25/18,2.215
09/24/18,2.21
09/21/18,2.173
09/20/18,2.176
09/19/18,2.164
09/18/18,2.176
09/17/18,2.161
09/14/18,2.153
09/13/18,2.153
09/12/18,2.156
09/11/18,2.148
09/10/18,2.151
09/07/18,2.14
09/06/18,2.13
09/05/18,2.133
09/04/18,2.13
08/31/18,2.104
08/30/18,2.104
08/29/18,2.135
08/28/18,2.123
08/27/18,2.112
08/24/18,2.097
08/23/18,2.084
08/22/18,2.082
08/21/18,2.077
08/20/18,2.062
08/17/18,2.04
08/16/18,2.0580000000000003
08/15/18,2.064
08/14/18,2.077
08/13/18,2.064
08/10/18,2.048
08/09/18,2.051
08/08/18,2.059
08/07/18,2.056
08/06/18,2.036
08/03/18,2.017
08/02/18,2.01
08/01/18,2.03
07/31/18,2.0180000000000002
07/30/18,2.02
07/27/18,1.999
07/26/18,1.9969999999999999
07/25/18,2.005
07/24/18,2.0
07/23/18,1.966
07/20/18,1.974
07/19/18,1.992
07/18/18,2.01
07/17/18,2.0180000000000002
07/16/18,2.002
07/13/18,1.984
07/12/18,1.969
07/11/18,1.959
07/10/18,1.974
07/09/18,1.966
07/06/18,1.9480000000000002
07/05/18,1.956
07/03/18,1.974
07/02/18,1.969
06/29/18,1.923
06/28/18,1.923
06/27/18,1.923
06/26/18,1.931
06/25/18,1.915
06/22/18,1.9169999999999998
06/21/18,1.9380000000000002
06/20/18,1.9380000000000002
06/19/18,1.9380000000000002
06/18/18,1.933
06/15/18,1.9380000000000002
06/14/18,1.9280000000000002
06/13/18,1.9380000000000002
06/12/18,1.931
06/11/18,1.936
06/08/18,1.93
06/07/18,1.9280000000000002
06/06/18,1.9509999999999998
06/05/18,1.946
06/04/18,1.915
06/01/18,1.912
05/31/18,1.913
05/30/18,1.925
05/29/18,1.892
05/27/18,1.899
05/25/18,1.905
05/24/18,1.91
05/23/18,1.92
05/22/18,1.933
05/21/18,1.912
05/18/18,1.9069999999999998
05/17/18,1.91
05/16/18,1.902
05/15/18,1.9180000000000001
05/14/18,1.915
05/11/18,1.912
05/10/18,1.8969999999999998
05/09/18,1.89
05/08/18,1.869
05/07/18,1.8330000000000002
05/04/18,1.8459999999999999
05/03/18,1.8259999999999998
05/02/18,1.821
05/01/18,1.841
04/30/18,1.81
04/27/18,1.8130000000000002
04/26/18,1.821
04/25/18,1.854
04/24/18,1.8619999999999999
04/23/18,1.849
04/20/18,1.807
04/19/18,1.821
04/18/18,1.8230000000000002
04/17/18,1.79
04/16/18,1.767
04/13/18,1.7590000000000001
04/12/18,1.751
04/11/18,1.7280000000000002
04/10/18,1.7309999999999999
04/09/18,1.7180000000000002
04/06/18,1.715
04/05/18,1.713
04/04/18,1.7109999999999999
04/03/18,1.749
04/02/18,1.744
03/29/18,1.723
03/28/18,1.736
03/27/18,1.77
03/26/18,1.7480000000000002
03/23/18,1.7380000000000002
03/22/18,1.7209999999999999
03/21/18,1.749
03/20/18,1.798
03/19/18,1.788
03/16/18,1.784
03/15/18,1.777
03/14/18,1.754
03/13/18,1.7180000000000002
03/12/18,1.6769999999999998
03/09/18,1.675
03/08/18,1.672
03/07/18,1.683
03/06/18,1.6769999999999998
03/05/18,1.6769999999999998
03/02/18,1.659
03/01/18,1.626
02/28/18,1.665
02/27/18,1.672
02/26/18,1.665
02/23/18,1.641
02/22/18,1.636
02/21/18,1.6469999999999998
02/20/18,1.6030000000000002
02/18/18,1.6059999999999999
02/16/18,1.6
02/15/18,1.6059999999999999
02/14/18,1.588
02/13/18,1.5959999999999999
02/12/18,1.591
02/09/18,1.575
02/08/18,1.55
02/07/18,1.547
02/06/18,1.527
02/05/18,1.5090000000000001
02/02/18,1.4880000000000002
02/01/18,1.493
01/31/18,1.46
01/30/18,1.4580000000000002
01/29/18,1.435
01/26/18,1.4269999999999998
01/25/18,1.4269999999999998
01/24/18,1.44
01/23/18,1.45
01/22/18,1.432
01/19/18,1.4569999999999999
01/18/18,1.4369999999999998
01/17/18,1.4480000000000002
01/16/18,1.435
01/12/18,1.4369999999999998
01/11/18,1.429
01/10/18,1.4169999999999998
01/09/18,1.442
01/08/18,1.409
01/05/18,1.4040000000000001
01/04/18,1.409
01/03/18,1.4040000000000001
01/02/18,1.412
12/29/17,1.3940000000000001
12/28/17,1.381
12/27/17,1.442
12/26/17,1.337
12/24/17,1.35
12/22/17,1.348
12/21/17,1.35
12/20/17,1.376
12/19/17,1.379
12/18/17,1.348
12/15/17,1.315
12/14/17,1.32
12/13/17,1.297
12/12/17,1.338
12/11/17,1.3119999999999998
12/08/17,1.281
12/07/17,1.284
12/06/17,1.2919999999999998
12/05/17,1.307
12/04/17,1.281
12/01/17,1.271
11/30/17,1.2690000000000001
11/29/17,1.3019999999999998
11/28/17,1.297
11/27/17,1.284
11/24/17,1.276
11/22/17,1.2890000000000001
11/21/17,1.3119999999999998
11/20/17,1.2790000000000001
11/17/17,1.274
11/16/17,1.256
11/15/17,1.254
11/14/17,1.2590000000000001
11/13/17,1.215
11/09/17,1.2409999999999999
11/08/17,1.2309999999999999
11/07/17,1.215
11/06/17,1.198
11/03/17,1.177
11/02/17,1.177
11/01/17,1.177
10/31/17,1.147
10/30/17,1.1340000000000001
10/27/17,1.0979999999999999
10/26/17,1.103
10/25/17,1.111
10/24/17,1.121
10/23/17,1.0979999999999999
10/20/17,1.1159999999999999
10/19/17,1.101
10/18/17,1.093
10/17/17,1.101
10/16/17,1.075
10/13/17,1.072
10/12/17,1.07
10/11/17,1.093
10/10/17,1.088
10/06/17,1.07
10/05/17,1.07
10/04/17,1.073
10/03/17,1.067
10/02/17,1.042
09/29/17,1.06
09/28/17,1.065
09/27/17,1.07
09/26/17,1.065
09/25/17,1.052
09/22/17,1.021
09/21/17,1.052
09/20/17,1.05
09/19/17,1.042
09/18/17,1.044
09/15/17,1.0390000000000001
09/14/17,1.055
09/13/17,1.0390000000000001
09/12/17,1.0390000000000001
09/11/17,1.052
09/08/17,1.042
09/07/17,1.044
09/06/17,1.062
09/05/17,1.0290000000000001
09/01/17,1.014
08/31/17,0.996
08/30/17,1.024
08/29/17,1.0290000000000001
08/28/17,1.0290000000000001
08/25/17,1.0190000000000001
08/24/17,1.022
08/23/17,0.996
08/22/17,1.011
08/21/17,1.004
08/18/17,1.011
08/17/17,1.0090000000000001
08/16/17,1.034
08/15/17,1.032
08/14/17,1.0270000000000001
08/11/17,1.0390000000000001
08/10/17,1.044
08/09/17,1.047
08/08/17,1.057
08/07/17,1.0390000000000001
08/04/17,1.07
08/03/17,1.08
08/02/17,1.078
08/01/17,1.083
07/31/17,1.085
07/28/17,1.083
07/27/17,1.1059999999999999
07/26/17,1.126
07/25/17,1.175
07/24/17,1.198
07/21/17,1.172
07/20/17,1.146
07/19/17,1.1079999999999999
07/18/17,1.07
07/17/17,1.057
07/14/17,1.032
07/13/17,1.032
07/12/17,1.0390000000000001
07/11/17,1.065
07/10/17,1.052
07/07/17,1.037
07/06/17,1.0390000000000001
07/05/17,1.047
07/03/17,1.024
06/30/17,1.026
06/29/17,1.0190000000000001
06/28/17,1.011
06/27/17,1.006
06/26/17,0.986
06/23/17,0.958
06/22/17,0.96
06/21/17,0.996
06/20/17,1.0190000000000001
06/19/17,1.0190000000000001
06/16/17,1.0190000000000001
06/15/17,1.011
06/14/17,1.0090000000000001
06/13/17,1.004
06/12/17,1.004
06/09/17,1.014
06/08/17,0.9990000000000001
06/07/17,0.9940000000000001
06/06/17,0.978
06/05/17,0.986
06/02/17,0.973
06/01/17,0.978
05/31/17,0.971
05/30/17,0.948
05/26/17,0.935
05/25/17,0.93
05/24/17,0.93
05/23/17,0.925
05/22/17,0.904
05/19/17,0.912
05/18/17,0.92
05/17/17,0.904
05/16/17,0.904
05/15/17,0.899
05/12/17,0.879
05/11/17,0.8740000000000001
05/10/17,0.894
05/09/17,0.904
05/08/17,0.8809999999999999
05/05/17,0.8759999999999999
05/04/17,0.866
05/03/17,0.851
05/02/17,0.831
05/01/17,0.851
04/28/17,0.805
04/27/17,0.8079999999999999
04/26/17,0.828
04/25/17,0.823
04/24/17,0.818
04/21/17,0.787
04/20/17,0.795
04/19/17,0.805
04/18/17,0.823
04/17/17,0.813
04/13/17,0.81
04/12/17,0.8079999999999999
04/11/17,0.813
04/10/17,0.81
04/07/17,0.82
04/06/17,0.8029999999999999
04/05/17,0.797
04/04/17,0.79
04/03/17,0.764
03/31/17,0.757
03/30/17,0.769
03/29/17,0.78
03/28/17,0.79
03/27/17,0.767
03/24/17,0.78
03/23/17,0.764
03/22/17,0.775
03/21/17,0.764
03/20/17,0.757
03/17/17,0.736
03/16/17,0.736
03/15/17,0.7390000000000001
03/14/17,0.767
03/13/17,0.7440000000000001
03/10/17,0.747
03/09/17,0.7390000000000001
03/08/17,0.7340000000000001
03/07/17,0.752
03/06/17,0.726
03/03/17,0.708
03/02/17,0.6729999999999999
03/01/17,0.637
02/28/17,0.612
02/27/17,0.5
02/24/17,0.518
02/23/17,0.518
02/22/17,0.518
02/21/17,0.53
02/17/17,0.515
02/16/17,0.523
02/15/17,0.535
02/14/17,0.5479999999999999
02/13/17,0.5429999999999999
02/10/17,0.541
02/09/17,0.546
02/08/17,0.551
02/07/17,0.5329999999999999
02/06/17,0.53
02/03/17,0.513
