Ticker,Name,Sector,Industry
A,Agilent Technologies Inc.,Industrial Goods,Precision Products
AA,Alcoa Corp.,Basic Materials/Resources,Aluminum
AAL,American Airlines Group Inc.,Transportation/Logistics,Passenger Airlines
AAP,Advance Auto Parts Inc.,Retail/Wholesale,Specialty Retail
AAPL,Apple Inc.,Technology,Computers/Consumer Electronics
ABBV,AbbVie Inc.,Health Care/Life Sciences,Biotechnology
ABC,AmerisourceBergen Corp.,Retail/Wholesale,Drug Retail
ABMD,Abiomed Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
ABT,Abbott Laboratories,Health Care/Life Sciences,Pharmaceuticals
ACC,American Campus Communities Inc.,Real Estate/Construction,Residential REITs
ACGL,Arch Capital Group Ltd.,Financial Services,Non-Life Insurance
ACHC,Acadia Healthcare Co. Inc.,Health Care/Life Sciences,Healthcare Provision
ACM,AECOM,Real Estate/Construction,Construction
ACN,Accenture PLC Cl A,Business/Consumer Services,Diversified Business Services
ADBE,Adobe Inc.,Technology,Software
ADI,Analog Devices Inc.,Technology,Semiconductors
ADM,Archer Daniels Midland Co.,Consumer Goods,Food Products
ADP,Automatic Data Processing Inc.,Business/Consumer Services,Diversified Business Services
ADPT,Adaptive Biotechnologies Corp.,Health Care/Life Sciences,Biotechnology
ADS,Alliance Data Systems Corp.,Business/Consumer Services,Advertising/Marketing/Public Relations
ADSK,Autodesk Inc.,Technology,Software
ADT,ADT Inc.,Business/Consumer Services,General Services
AEE,Ameren Corp.,Companies on the Energy Service,Electric Utilities
AEP,American Electric Power Co. Inc.,Companies on the Energy Service,Electric Utilities
AES,AES Corp.,Companies on the Energy Service,Electric Utilities
AFG,American Financial Group Inc.,Financial Services,Life Insurance
AFL,AFLAC Inc.,Financial Services,Life Insurance
AGCO,AGCO Corp.,Industrial Goods,Mobile Machinery
AGIO,Agios Pharmaceuticals Inc.,Health Care/Life Sciences,Biotechnology
AGN,Allergan PLC,Health Care/Life Sciences,Pharmaceuticals
AGNC,AGNC Investment Corp.,Real Estate/Construction,Mortgage REITs
AGO,Assured Guaranty Ltd.,Financial Services,Non-Life Insurance
AGR,Avangrid Inc.,Companies on the Energy Service,Electric Utilities
AIG,American International Group Inc.,Financial Services,Full-Line Insurance
AIV,Apartment Investment & Management Co.,Real Estate/Construction,Residential REITs
AIZ,Assurant Inc.,Financial Services,Non-Life Insurance
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokering
AKAM,Akamai Technologies Inc.,Technology,Internet/Online
AL,Air Lease Corp.,Business/Consumer Services,General Services
ALB,Albemarle Corp.,Basic Materials/Resources,Chemicals
ALGN,Align Technology Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
ALK,Alaska Air Group Inc.,Transportation/Logistics,Passenger Airlines
ALKS,Alkermes PLC,Health Care/Life Sciences,Biotechnology
ALL,Allstate Corp.,Financial Services,Non-Life Insurance
ALLE,Allegion PLC,Business/Consumer Services,General Services
ALLY,Ally Financial Inc.,Financial Services,Banking
ALNY,Alnylam Pharmaceuticals Inc.,Health Care/Life Sciences,Biotechnology
ALSN,Allison Transmission Holdings Inc.,Automotive,Motor Vehicle Parts
ALXN,Alexion Pharmaceuticals Inc.,Health Care/Life Sciences,Biotechnology
AM,Antero Midstream Corp.,Companies on the Energy Service,Pipeline Transportation
AMAT,Applied Materials Inc.,Technology,Semiconductors
AMCX,AMC Networks Inc. Cl A,Media/Entertainment,Broadcasting
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors
AME,Ametek Inc.,Industrial Goods,Precision Products
AMG,Affiliated Managers Group Inc.,Financial Services,Investment Advisors
AMGN,Amgen Inc.,Health Care/Life Sciences,Biotechnology
AMH,American Homes 4 Rent Cl A,Real Estate/Construction,Residential REITs
AMP,Ameriprise Financial Inc.,Financial Services,Investment Advisors
AMT,American Tower REIT,Real Estate/Construction,Specialty REITs
AMTD,TD Ameritrade Holding Corp.,Financial Services,Securities
AMZN,Amazon.com Inc.,Retail/Wholesale,Mixed Retailing
AN,AutoNation Inc.,Retail/Wholesale,Specialty Retail
ANAT,American National Insurance Co.,Financial Services,Full-Line Insurance
ANET,Arista Networks Inc.,Technology,Internet/Online
ANSS,Ansys Inc.,Technology,Software
ANTM,Anthem Inc.,Financial Services,Life Insurance
AON,Aon PLC,Financial Services,Finance Companies
AOS,A.O. Smith Corp.,Real Estate/Construction,Building Materials/Products
APA,Apache Corp.,Companies on the Energy Service,Oil Extraction
APD,Air Products & Chemicals Inc.,Basic Materials/Resources,Chemicals
APH,Amphenol Corp. Cl A,Industrial Goods,Industrial Electronics
APLE,Apple Hospitality REIT Inc.,Real Estate/Construction,Hotel/Lodging REITs
APTV,Aptiv PLC,Automotive,Motor Vehicle Parts
APY,Apergy Corp.,Companies on the Energy Service,Oil & Gas Products/Services
AR,Antero Resources Corp.,Companies on the Energy Service,Oil Extraction
ARD,Ardagh Group S.A. Cl A,N/A,N/A
ARE,Alexandria Real Estate Equities Inc.,Real Estate/Construction,Industrial/Office REITs
ARMK,Aramark,Leisure/Arts/Hospitality,Restaurants
ARNC,Arconic Inc.,Industrial Goods,Industrial Products
ARW,Arrow Electronics Inc.,Industrial Goods,Industrial Electronics
ASB,Associated Banc-Corp.,Financial Services,Banking
ASH,Ashland Global Holdings Inc.,Basic Materials/Resources,Chemicals
ATH,Athene Holding Ltd.,Financial Services,Life Insurance
ATO,Atmos Energy Corp.,Companies on the Energy Service,Gas Utilities
ATR,Aptargroup Inc.,Industrial Goods,Containers/Packaging
ATUS,Altice USA Inc. Cl A,Media/Entertainment,Broadcasting
ATVI,Activision Blizzard Inc.,Consumer Goods,Toys & Games
AVB,Avalonbay Communities Inc.,Real Estate/Construction,Residential REITs
AVGO,Broadcom Inc.,Technology,Semiconductors
AVLR,Avalara Inc.,Technology,Internet/Online
AVT,Avnet Inc.,Industrial Goods,Industrial Electronics
AVTR,Avantor Inc.,Basic Materials/Resources,Chemicals
AVY,Avery Dennison Corp.,Basic Materials/Resources,Chemicals
AWI,Armstrong World Industries Inc.,Real Estate/Construction,Building Materials/Products
AWK,American Water Works Co.,Companies on the Energy Service,Water Utilities
AXP,American Express Co.,Financial Services,Consumer Finance
AXS,AXIS Capital Holdings Ltd.,Financial Services,Non-Life Insurance
AXTA,Axalta Coating Systems Ltd.,Real Estate/Construction,Building Materials/Products
AYI,Acuity Brands Inc.,Industrial Goods,Industrial Electronics
AYX,Alteryx Inc. Cl A,Technology,Software
AZO,AutoZone Inc.,Retail/Wholesale,Specialty Retail
AZPN,Aspen Technology Inc.,Technology,Software
